Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2014-11-08 17:44:21,Running,,3.82,31:16,8:11,7.33,225.181469827177,25.71,,,2014-11-08-1744.gpx
2014-10-18 18:51:03,Running,,3.66,28:18,7:44,7.76,222.344520080385,20.45,,,2014-10-18-1851.gpx
2014-10-09 20:54:01,Running,,3.21,25:24,7:55,7.58,190.470819052664,16.53,,,2014-10-09-2054.gpx
2014-10-04 20:12:47,Running,,6.30,46:07,7:19,8.20,385.0,42.01,,,2014-10-04-2012.gpx
2014-10-01 20:38:13,Running,,5.15,37:34,7:18,8.22,305.0,28.41,,,2014-10-01-2038.gpx
2014-09-27 20:21:12,Running,,4.87,36:59,7:36,7.89,293.0,35.68,,,2014-09-27-2021.gpx
2014-09-20 20:19:09,Running,,3.72,25:49,6:56,8.65,223.0,20.64,,,2014-09-20-2019.gpx
2014-09-13 06:29:22,Running,,3.48,27:20,7:52,7.63,203.0,42.82,,,2014-09-13-0629.gpx
2014-09-08 20:54:52,Running,,3.60,26:32,7:22,8.14,216.0,20.09,,,2014-09-08-2054.gpx
2014-09-06 08:02:59,Running,,4.16,35:01,8:25,7.13,252.0,34.06,,,2014-09-06-0802.gpx
2014-08-30 07:12:50,Running,,6.09,48:46,8:00,7.49,368.0,71.03,,,2014-08-30-0712.gpx
2014-08-29 08:28:46,Running,,1.85,14:21,7:46,7.73,114.0,7.76,,,2014-08-29-0828.gpx
2014-08-24 08:57:29,Running,,4.03,30:02,7:27,8.05,243.0,24.94,,,2014-08-24-0857.gpx
2014-08-23 08:16:40,Running,,4.20,34:06,8:07,7.39,247.0,24.97,,,2014-08-23-0816.gpx
2014-08-17 14:26:23,Running,,1.41,9:26,6:43,8.93,88.0,10.00,,,2014-08-17-1426.gpx
2014-07-30 05:40:17,Running,,3.80,30:30,8:02,7.47,224.0,44.08,,,2014-07-30-0540.gpx
2014-07-25 07:51:15,Running,,3.58,31:26,8:47,6.83,205.0,28.27,,,2014-07-25-0751.gpx
2014-07-19 06:24:38,Running,,2.85,21:18,7:28,8.03,167.0,28.36,,,2014-07-19-0624.gpx
2014-07-13 06:44:06,Running,,4.58,33:34,7:20,8.18,270.0,41.73,,,2014-07-13-0644.gpx
2014-07-12 06:23:55,Running,,3.62,27:54,7:42,7.79,210.0,29.35,,,2014-07-12-0623.gpx
2014-07-10 05:53:11,Running,,3.37,25:12,7:28,8.03,198.0,29.94,,,2014-07-10-0553.gpx
2014-07-08 05:49:34,Running,,3.09,24:47,8:02,7.47,179.0,24.00,,,2014-07-08-0549.gpx
2014-07-01 22:10:29,Running,,0.99,6:52,6:57,8.63,61.0,5.00,,,2014-07-01-2210.gpx
2014-06-23 06:36:05,Running,,4.40,31:01,7:03,8.51,271.0,51.16,,,2014-06-23-0636.gpx
2014-06-21 15:45:29,Cycling,,11.91,57:29,4:50,12.43,253.0,51.27,,,2014-06-21-1545.gpx
2014-06-01 05:50:50,Running,,5.74,44:10,7:42,7.79,352.0,59.75,,,2014-06-01-0550.gpx
2014-05-30 17:05:02,Walking,,1.10,14:00,12:46,4.70,49.0,7.68,,,2014-05-30-1705.gpx
2014-05-18 09:43:00,Running,,3.75,27:47,7:24,8.10,227.0,33.88,,,2014-05-18-0943.gpx
2014-05-17 06:38:52,Running,,4.71,35:10,7:28,8.04,289.0,45.27,,,2014-05-17-0638.gpx
2014-05-14 21:46:27,Running,,2.02,18:56,9:24,6.38,120.0,11.33,,,2014-05-14-2146.gpx
2014-05-11 06:10:18,Running,,3.07,23:33,7:41,7.81,186.0,27.14,,,2014-05-11-0610.gpx
2014-05-09 21:33:03,Running,,3.45,33:07,9:36,6.25,204.0,27.36,,,2014-05-09-2133.gpx
